mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,R2.diff
0.17483968734741212,0.002824297,0.009218311,0.000874317,0.8,0.01,1,2,100,10,10,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 2, 'n_estimators': 100, 'reg_alpha': 10, 'reg_lambda': 10, 'subsample': 0.8}",0.34375168365164477,0.35150107019723287,0.3423995473711101,0.34829330060315633,0.3550611716357823,0.34820135469178526,0.00472047,4366,0.35367235560085675,0.35023739634494744,0.3558061423059816,0.35715200139815584,0.3466832008189019,0.3527102192937687,0.003812602,0.004508865
0.18096981048583985,0.011601903654615813,0.010861206,0.004545703,0.8,0.01,1,5,100,10,10,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 5, 'n_estimators': 100, 'reg_alpha': 10, 'reg_lambda': 10, 'subsample': 0.8}",0.34375168365164477,0.35150107019723287,0.3423995473711101,0.34829330060315633,0.3550611716357823,0.34820135469178526,0.00472047,4366,0.35367235560085675,0.35023739634494744,0.3558061423059816,0.35715200139815584,0.3466832008189019,0.3527102192937687,0.003812602,0.004508865
0.7391516685485839,0.14792244105684607,0.017185688018798828,0.000854389,0.8,0.01,1,10,100,10,10,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 10, 'n_estimators': 100, 'reg_alpha': 10, 'reg_lambda': 10, 'subsample': 0.8}",0.34375168365164477,0.35150107019723287,0.3423995473711101,0.34829330060315633,0.3550611716357823,0.34820135469178526,0.00472047,4366,0.35367235560085675,0.35023739634494744,0.3558061423059816,0.35715200139815584,0.3466832008189019,0.3527102192937687,0.003812602,0.004508865
0.1995856285095215,0.052147195,0.009159613,0.001180867,0.8,0.01,1,2,100,0.1,0.1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 2, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.3486890202820966,0.3565777726924847,0.3464620776908808,0.35212384281997344,0.3603459904191224,0.3528397407809116,0.005074096,4237,0.35839071656912813,0.35502451265283297,0.3608218561561166,0.3619657030673826,0.3513779843368927,0.35751615455647057,0.00388269,0.004676414
0.23990020751953126,0.016162239867256276,0.010931158065795898,0.001007106,0.8,0.01,1,5,100,0.1,0.1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.3486890202820966,0.3565777726924847,0.3464620776908808,0.35212384281997344,0.3603459904191224,0.3528397407809116,0.005074096,4237,0.35839071656912813,0.35502451265283297,0.3608218561561166,0.3619657030673826,0.3513779843368927,0.35751615455647057,0.00388269,0.004676414
1.351952075958252,0.6134938049689885,0.070227909,0.031222440203918716,0.8,0.01,1,10,100,0.1,0.1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 10, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.3486890202820966,0.3565777726924847,0.3464620776908808,0.35212384281997344,0.3603459904191224,0.3528397407809116,0.005074096,4237,0.35839071656912813,0.35502451265283297,0.3608218561561166,0.3619657030673826,0.3513779843368927,0.35751615455647057,0.00388269,0.004676414
0.16873502731323242,0.000839301,0.008495331,0.00049514,0.9,0.01,1,2,100,1,0.1,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 2, 'n_estimators': 100, 'reg_alpha': 1.0, 'reg_lambda': 0.1, 'subsample': 0.8}",0.3502175517619802,0.35680901196349424,0.3472621421678316,0.35249831339497995,0.3610619436905055,0.3535697925957583,0.00487436,4219,0.3590337288480663,0.35577739697976607,0.3614976630841853,0.3628344539315017,0.3520918650371121,0.35824702157612626,0.003904231,0.004677229
0.16916704177856445,0.003182526,0.008714771,0.000382838,0.9,0.01,1,5,100,1,0.1,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 5, 'n_estimators': 100, 'reg_alpha': 1.0, 'reg_lambda': 0.1, 'subsample': 0.8}",0.3502175517619802,0.35680901196349424,0.3472621421678316,0.35249831339497995,0.3610619436905055,0.3535697925957583,0.00487436,4219,0.3590337288480663,0.35577739697976607,0.3614976630841853,0.3628344539315017,0.3520918650371121,0.35824702157612626,0.003904231,0.004677229
0.16810102462768556,0.003232621,0.008507061,0.000285932,0.9,0.01,1,10,100,1,0.1,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 10, 'n_estimators': 100, 'reg_alpha': 1.0, 'reg_lambda': 0.1, 'subsample': 0.8}",0.3502175517619802,0.35680901196349424,0.3472621421678316,0.35249831339497995,0.3610619436905055,0.3535697925957583,0.00487436,4219,0.3590337288480663,0.35577739697976607,0.3614976630841853,0.3628344539315017,0.3520918650371121,0.35824702157612626,0.003904231,0.004677229
0.171730375,0.007032816,0.008881807,0.000544767,0.9,0.01,1,2,100,10,10,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 1, 'min_child_weight': 2, 'n_estimators': 100, 'reg_alpha': 10, 'reg_lambda': 10, 'subsample': 0.9}",0.3455654795830777,0.35175151887811607,0.34330821811604095,0.3484146948523018,0.35597039508147366,0.34900206130220207,0.004487586,4360,0.3545722096989111,0.35125728233480324,0.35674938368574727,0.35824993960977836,0.3476004776431172,0.35368585859447144,0.003845295,0.004683797
